recording date,video #,Total_sperm,motile ,Motility %,lizid#,incubation_temperature,Day
7/21/2021,2340,51,48,94.1,25,38,21
7/21/2021,2357,50,39,78,25,43,21
7/21/2021,2358,51,42,82.4,25,33,21
7/21/2021,2367,53,0,0,25,48,21
7/21/2021,2318,53,37,69.8,26,38,21
7/21/2021,2325,50,42,84,26,33,21
7/21/2021,2333,49,40,81.6,26,43,21
7/21/2021,2341,50,0,0,26,50,21
7/21/2021,2346,0,0,0,26,48,21
7/21/2021,2348,53,2,3.8,26,46,21
7/21/2021,2370,50,46,92,26,41,21
7/21/2021,2366,71,52,73.2,27,38,21
7/21/2021,2319,55,0,0,27,48,21
7/21/2021,2328,51,47,92.2,27,41,21
7/21/2021,2344,55,0,0,27,46,21
7/21/2021,2352,50,0,0,27,50,21
7/21/2021,2363,54,51,94.4,27,33,21
7/21/2021,2369,53,45,84.9,27,43,21
7/21/2021,2320,56,52,92.9,28,43,21
7/21/2021,2329,56,0,0,28,50,21
7/21/2021,2332,50,46,92,28,33,21
7/21/2021,2337,51,49,96.1,28,38,21
7/21/2021,2353,51,12,23.5,28,46,21
7/21/2021,2365,57,0,0,28,48,21
7/21/2021,2368,51,50,98,28,41,21
7/21/2021,2317,57,51,89.5,29,33,21
7/21/2021,2321,51,0,0,29,50,21
7/21/2021,2335,50,47,94,29,41,21
7/21/2021,2339,53,4,7.5,29,46,21
7/21/2021,2345,53,52,98.1,29,38,21
7/21/2021,2351,51,0,0,29,48,21
7/21/2021,2362,57,55,96.5,29,43,21
7/21/2021,2342,61,39,63.9,30,33,21
7/21/2021,2322,49,3,6.1,30,46,21
7/21/2021,2326,46,40,87,30,41,21
7/21/2021,2334,52,36,69.2,30,43,21
7/21/2021,2347,58,50,86.2,30,38,21
7/21/2021,2356,61,0,0,30,50,21
7/22/2021,2374,51,51,100,31,38,21
7/22/2021,2378,50,0,0,31,50,21
7/22/2021,2379,50,0,0,31,48,21
7/22/2021,2382,54,51,94.4,31,33,21
7/22/2021,2388,50,42,84,31,43,21
7/22/2021,2393,52,45,86.5,31,41,21
7/22/2021,2399,52,7,13.5,31,46,21
7/22/2021,2371,54,53,98.1,32,38,21
7/22/2021,2375,55,52,94.5,32,43,21
7/22/2021,2384,49,47,95.9,32,41,21
7/22/2021,2385,50,0,0,32,50,21
7/22/2021,2391,50,0,0,32,48,21
7/22/2021,2394,53,47,88.7,32,33,21
7/22/2021,2395,50,0,0,32,48,21
7/22/2021,2400,47,1,2.1,32,46,21
7/22/2021,2373,50,3,6,33,46,21
7/22/2021,2377,61,50,82,33,41,21
7/22/2021,2381,61,56,91.8,33,43,21
7/22/2021,2387,55,50,90.9,33,33,21
7/22/2021,2390,50,0,0,33,50,21
7/22/2021,2396,54,46,85.2,33,38,21
7/22/2021,2398,50,0,0,33,48,21
7/22/2021,2372,60,0,0,34,50,21
7/22/2021,2376,58,56,96.6,34,33,21
7/22/2021,2383,50,0,0,34,48,21
7/22/2021,2386,74,58,78.4,34,43,21
7/22/2021,2389,58,58,100,34,41,21
7/22/2021,2392,56,54,96.4,34,38,21
7/22/2021,2397,56,2,3.6,34,46,21
7/23/2021,2401,50,0,0,36,50,21
7/23/2021,2402,54,46,85.2,36,33,21
7/23/2021,2403,60,50,83.3,36,38,21
7/23/2021,2404,50,0,0,36,46,21
7/23/2021,2405,58,53,91.4,36,41,21
7/23/2021,2406,50,0,0,36,48,21
7/23/2021,2407,65,62,95.4,36,43,21
